,Operator Name,health,speed,difficulty,BREACH,INTEL,ANTI-GADGET,FRONT LINE,MAP CONTROL,SUPPORT,Operator Unique Ability,Unique Ability Description,Type
0,RAM,3,1,2,1,0,0,0,0,0,BU-GI AUTO BREACHER,"Very little can stand in the way of the new BU-GI Auto Breacher. This deployable mini-tank destroys all breakable surfaces and devices in its way along a set path, leaving a trail of destruction in its wake.",Attacker
1,BRAVA,1,3,3,0,1,1,0,0,0,KLUDGE DRONE,"Brava's Kludge Drone is a sabotage tool capable of taking over opponents' devices. If the device can't be controlled, it's destroyed instead.",Attacker
2,GRIM,1,3,1,0,0,0,1,1,0,KAWAN HIVE LAUNCHER,"You've heard the buzz, and the Kawan Hive Launcher is here! Firing off a projectile releases a swarm of bots that track the location of opponents who walk through it. Just don't get them in your eyes.",Attacker
3,SENS,1,3,2,0,0,0,0,1,1,R.O.U. PROJECTOR SYSTEM,"R.O.U. Projector System rolls after it's thrown by Sens and drops small projectors to create a screen along its path. Although physical objects can still pass through the screen, it's highly flexible—cutting off multiple lines of sight at once.",Attacker
4,OSA,3,1,2,0,1,0,0,0,1,TALON-8 CLEAR SHIELD,"The transparent and bulletproof Talon-8 Shield can be carried by Osa or deployed on floors or window frames, giving her a protective line of sight while she formulates an attack strategy.",Attacker
5,FLORES,2,2,2,0,1,1,0,0,0,RCE-RATERO CHARGE,"Controlled from a distance, the RCE-Ratero Charge races forward while Flores scouts a location for its blast. Once triggered, the Ratero clutches onto the nearest surface, armors itself with a bulletproof shell, and explodes, destroying nearby gadgets and soft surfaces.",Attacker
6,ZERO,1,3,0,0,1,1,0,0,0,ARGUS LAUNCHER,"Intel is crucial to a good attack strategy, and Zero is well aware of that. His Argus Launcher is equipped with very special cameras that can lodge themselves into breakable and reinforced surface to surveil either side.",Attacker
7,ACE,2,2,1,1,0,1,0,0,0,S.E.L.M.A. AQUA BREACHER,"With the S.E.L.M.A. Aqua Breacher, water is the name of the game. It makes use of hydraulic pressure to burst through breakable and reinforced surfaces. The cylinder is thrown on whatever Ace is trying to breach, and then it opens to fully deploy. It explodes one time on floors, ceilings and hatches, but on walls the cylinder rolls down to deploy up to two times, if space allows. Each of these deployments leaves a clean rectangle breach, combining to create a hole big enough for an Operator to go through easily.",Attacker
8,IANA,2,2,1,0,1,0,1,0,0,GEMINI REPLICATOR,"The Gemini Replicator is a remotely-controlled holographic copy of Iana. It can move and produces sound like she would, but it cannot shoot, melee or use secondary gadgets. It has a time limit, or it can be exited at any time. There is always a cooldown between two uses, which is longer if it’s destroyed.",Attacker
9,KALI,2,2,2,0,0,1,0,0,1,LV EXPLOSIVE LANCE,"To talk about the LV Explosive Lance, we need to mention Kali’s CSRX 300. It’s a dangerous weapon that can breach barricades and hatches in a single shot, and create big holes in breakable walls. The LV is its under-barrel, and it can be used at the same time as the CSRX 300’s scopes.",Attacker
